Citation_PuSH_style___________________________________________,Advisor,JLYear Imp Fact,Proposal,Instr,Non-Instr,DOI/URL
"Y. Huang, Q. Zhang, Y. C. Li, Y. Yao, Y. Hu, S. Ren, ""Chemical tuning Meets Two-Dimensional Molecular Magnets."" Advanced Materials, 2208919 (November 2022).",,30.849,,HB-2A,,https://doi.org/10.1002/adma.202208919
"D. Kong, W. R. Chen, K. Q. Zeng, L. Porcar, Z. Wang, ""Localized Elasticity Governs the Nonlinear Rheology of Colloidal Supercooled Liquids."" Physical Review X 12, 041006 (October 2022).",,15.762,,BL-6,ILL,https://doi.org/10.1103/PhysRevX.12.041006
"G. H. Johnstone, M. U. Gonzalez-Rivas, K. M. Taddei, R. Sutarto, G. A. Sawatzky, R. J. Green, M. Oudah, A. M. Hallas, ""Entropy Engineering and Tunable Magnetic Order in the Spinel High-Entropy Oxide."" Journal of the American Chemical Society,  (November 2022).",,15.419,,HB-2A,NERSC,https://doi.org/10.1021/jacs.2c06768
"V. Elakkat, E. Tessema, C. H. Lin, X. P. Wang, H. C. Chang, Y. N. Zheng, Y. C. Huang, G. Gurumallappa, Z. Y. Zhang, K. L. Chan, H. R. Asti, J. S. Francisco, N. Lu, ""Unusual Changes of CñH Bond Lengths in Chiral Zinc Complexes Induced by Noncovalent Interactions."" Angewandte Chemie International Edition,  (November 2022).",,15.336,,BL-12,,https://doi.org/10.1002/anie.202215438
"H. Hsiao, R. Feng, H. Ni, K. An, J. Poplawsky, P. K. Liaw, J. Zuo, ""Data-driven electron-diffraction approach reveals local short-range ordering in CrCoNi with ordering effects."" Nature Communications 13, 6651 (November 2022).",,14.919,,"BL-7, CG-2",CNMS,https://www.nature.com/articles/s41467-022-34335-0
"S. Chen, Q. Zhang, X. Li, J. Zhao, S. Lin, Q. Jin, H. Hong, A. Huon, T. R. Charlton, Q. Li, W. Yan, J. Wang, C. Ge, C. Wang, B. T. Wang, M. R. Fitzsimmons, H. Guo, L. Gu, W. Yin, K. j. Jin, E. J. Guo, ""Atomically engineered cobaltite layers for robust ferromagnetism."" Science Advances 8, eabq3981 (October 2022).",,14.136,27527.1,BL-4A,,https://doi.org/10.1126/sciadv.abq3981
"Z. Gao, Y. Zhang, S. Qian, W. Yang, Z. Wu, K. R. Gluesenkamp, K. Nawaz, A. Gehl, ""Nondestructive Neutron Imaging Diagnosis of Acidic Gas Reduction Catalyst After 400-Hour Operation in Natural Gas Furnace."" Chemical Engineering Journal, 140099 (November 2022).",,13.273,27105.1,CG-1D,,https://doi.org/10.1016/j.cej.2022.140099
"L. Zhou, Q. Zhang, L. F. Nazar, ""Li-Rich and Halide-Deficient Argyrodite Fast Ion Conductors."" Chemistry of Materials,  (October 2022).",,9.811,28720.1,BL-11A,NERSC,https://doi.org/10.1021/acs.chemmater.2c02343
"K. Zhou, Y. Li, Y. Ha, M. Zhang, W. Dachraoui, H. Liu, C. Zhang, X. Liu, F. Liu, C. Battaglia, W. Yang, J. Liu, Y. Yang, ""A Nearly Zero-Strain Li-Rich Rock-Salt Oxide with Multielectron Redox Reactions as a Cathode for Li-Ion Batteries."" Chemistry of Materials,  (October 2022).",,9.811,,BL-7,,https://doi.org/10.1021/acs.chemmater.2c02519
"M. Niu, K. Jayanthi, H. Gao, A. P. Solomon, E. C. O'Quinn, L. Su, Y. Qin, M. E. Toimil-Molares, H. Wang, M. Lang, A. Navrotsky, ""Structural and thermodynamic evolution of an amorphous SiOC ceramic after swift heavy ion irradiation."" Acta Materialia,  118475 (October 2022).",,8.203,,BL-1B,,https://doi.org/10.1016/j.actamat.2022.118475
"F. Sun, S. Wang, Q. Xie, ""Role of particles and lattice rotation in tension-compression asymmetry of aluminium alloys."" International Journal of Plasticity, 103464 (October 2022).",,7.081,,BL-7,,https://doi.org/10.1016/j.ijplas.2022.103464
"W. T. Heller, ""Small-Angle Neutron Scattering for Studying Lipid Bilayer Membranes."" Biomolecules 12(11), 1591 (December 2022).",,6.064,12471.1,BL-6,APS,http://doi.org/10.3390/biom12111591
"S. Kumar, M. K. Gupta, R. Mittal, N. Jalarvo, S. Mukhopadhyay, R. Shukla, S. N. Achary, A. I. Kolesnikov, A. K. Tyagi, S. L. Chaplot, ""Li-Ion Diffusion Correlations in LiAlGeO4: Quasielastic Neutron Scattering and Ab Initio Simulation."" ACS Applied Energy Materials,  (October 2022).",,6.024,,BL-2,,https://doi.org/10.1021/acsaem.2c02663
"K. J. Bichler, B. Jakobi, D. Honecker, L. Stingaciu, T. K. Weldeghiorghis, J. H. Collins, G. J. Schneider, ""Dynamics of Bottlebrush Polymers in Solution by Neutron Spin Echo Spectroscopy."" Macromolecules,  (October 2022).",,5.985,,BL-15,ISIS,https://doi.org/10.1021/acs.macromol.2c01177
"E. S. Converse, G. King, J. Li, M. A. Subramanian, ""Bond valence sum analysis of pyrochlore oxides including the novel dielectric Te6+ pyrochlores: ABiMTeO7-y (A = Cd, Ca; M = Cr, Ga, Sc, In, Fe)."" Progress in Solid State Chemistry, 100378 (October 2022).",,5.682,,BL-11A,APS,https://doi.org/10.1016/j.progsolidstchem.2022.100378
"D. H. Moseley, Z. Liu, A. N. Bone, S. E. Stavretis, S. K. Singh, M. Atanasov, Z. Lu, M. Ozerov, K. Thirunavukkuarasu, Y. Q. Cheng, L. L. Daemen, D. Lubert-Perquel, D. Smirnov, F. Neese, A. J. Ramirez-Cuesta, S. Hill, K. R. Dunbar, Z. Xue, ""Comprehensive Studies of Magnetic Transitions and SpinñPhonon Couplings in the Tetrahedral Cobalt Complex Co(AsPh3)2I2."" Inorganic Chemistry,  (October 2022).",,5.165,,BL-16B,"ICE-MAN, NIST, VirtuES",https://doi.org/10.1021/acs.inorgchem.2c02604
"O. Gerlits, M. Fajer, X. Cheng, D. K. Blumenthal, Z. Radic, A. Kovalevsky, ""Structural and dynamic effects of paraoxon binding to human acetylcholinesterase by X-ray crystallography and inelastic neutron scattering."" Structure 30, 1538-1549 (November 2022).",,5.006,,BL-5,Center,http://doi.org/10.1016/j.str.2022.09.006
"G. E. Borgstahl, J. Azadmanesh, J. Lovelace, C. Kolar, L. Coates, K. Weiss, ""Perfect Crystals: Microgravity capillary counterdiffusion crystallization of human manganese superoxide dismutase for neutron crystallography."" npj Microgravity,  (October 2022).",,4.37,,BL-11B,,https://doi.org/10.21203/rs.3.rs-2019535/v1
"F. Gao, J. M. Sheng, W. Ren, Q. Zhang, X. Luo, J. Qi, M. Cong, B. Li, L. S. Wu, Z. Zhang, ""Incommensurate spin density wave and magnetocaloric effect in the metallic triangular lattice  Ho Al 2 Ge 2."" Physical Review B 106, 134426 (October 2022).",,4.036,22284.1,BL-11A,,https://doi.org/10.1103/PhysRevB.106.134426
"S. A. Skorobogatov, K. A. Shaykhutdinov, D. A. Balaev, M. S. Pavlovskii, A. A. Krasikov, K. Y. Terentjev, ""Spin dynamics and exchange interaction in orthoferrite  TbFeO 3  with non-Kramers rare-earth ion."" Physical Review B 106, 184404 (November 2022).",,4.036,,"BL-18, BL-5",,https://doi.org/10.1103/PhysRevB.106.184404
"F. Ye, M. Matsuda, Z. Morgan, T. E. Sherline, Y. F. Ni, H. D. Zhao, G. Cao, ""Magnetic structure and spin fluctuations in the colossal magnetoresistance ferrimagnet  Mn 3 Si 2 Te 6."" Physical Review B 106, L180402 (November 2022).",,4.036,"27898.1,268229.1","BL-9, HB-1",,https://doi.org/10.1103/PhysRevB.106.L180402
"S. Shukla, D. A. Myles, M. J. Cuneo, ""Mapping periplasmic binding protein oligosaccharide recognition with neutron crystallography."" Scientific Reports 12, 17647 (October 2022).",,3.998,,CG-4D,Center,https://doi.org/10.1038/s41598-022-20542-8
"M. Mirzamani, A. Dawn, C. J. Garvey, L. He, H. Koerner, H. Kumari, ""Structural Insights into Self-Assembly of a Slow-Evolving and Mechanically Robust Supramolecular Gel via Time-resolved SANS."" Physical Chemistry Chemical Physics,  (November 2022).",,3.676,,CG-2,,https://doi.org/10.1039/D2CP01826H
